Title,Note,URL,Tags,Comment
Cask,,https://www.google.com/maps/place/Cask/data=!4m2!3m1!1s0x4887c7c64d87ea63:0xc5d355960fe6235e,,
Twenty Princes Street,,https://www.google.com/maps/place/Twenty+Princes+Street/data=!4m2!3m1!1s0x4887c790c15def5b:0x21c887ef46f4bbcc,,
CC Blooms,,https://www.google.com/maps/place/CC+Blooms/data=!4m2!3m1!1s0x4887c78bf6b937d1:0x29d7d4f61d3afafa,,
Why Not Nightclub,,https://www.google.com/maps/place/Why+Not+Nightclub/data=!4m2!3m1!1s0x4887c79107371c41:0x826c0d4dff4974f0,,
The Queens Arms,,https://www.google.com/maps/place/The+Queens+Arms/data=!4m2!3m1!1s0x4887c796d0211ddd:0x1464eb3a1b2b5401,,
The Conan Doyle,,https://www.google.com/maps/place/The+Conan+Doyle/data=!4m2!3m1!1s0x4887c78c250017e5:0x32b37f50242deed8,,
The Scotch Malt Whisky Society,,https://www.google.com/maps/place/The+Scotch+Malt+Whisky+Society/data=!4m2!3m1!1s0x4887c7914b22b8ad:0x5ee8fe77e2f89a4b,,
Cold Town House,,https://www.google.com/maps/place/Cold+Town+House/data=!4m2!3m1!1s0x4887c7e545d7663b:0x384895732fddbc89,,
The Last Drop,,https://www.google.com/maps/place/The+Last+Drop/data=!4m2!3m1!1s0x4887c79a5669b663:0x4b5cd27d8ffd1b32,,
Bar Salsa,,https://www.google.com/maps/place/Bar+Salsa/data=!4m2!3m1!1s0x4887c79ae39fdaf5:0xfb9500279c389c51,,
The Canons' Gait,,https://www.google.com/maps/place/The+Canons'+Gait/data=!4m2!3m1!1s0x4887c7889e9fe4a9:0xd552904d3d8249d5,,
The Chanter,,https://www.google.com/maps/place/The+Chanter/data=!4m2!3m1!1s0x4887c798c1c9463d:0x544279d424b36fcf,,
Festival Edinburgh,,https://www.google.com/maps/place/Festival+Edinburgh/data=!4m2!3m1!1s0x4887c792ab51137b:0x25d2f0cf715933da,,
Boteco Do Brasil Edinburgh,,https://www.google.com/maps/place/Boteco+Do+Brasil+Edinburgh/data=!4m2!3m1!1s0x4887c78494c3aa27:0xb56421d4fc7f15e1,,
Doctors,,https://www.google.com/maps/place/Doctors/data=!4m2!3m1!1s0x4887c784ad883b9f:0x5cf5f8c53b60c6f4,,
